iter	Passed	Remaining
453	1110	1335
454	1116	1337
455	1121	1337
456	1123	1334
457	1125	1331
458	1127	1329
459	1130	1326
460	1132	1324
461	1134	1321
462	1137	1319
463	1140	1317
464	1143	1315
465	1145	1312
466	1147	1309
467	1152	1310
468	1155	1307
469	1157	1305
470	1159	1302
471	1162	1300
472	1168	1301
473	1170	1298
474	1172	1295
475	1174	1292
476	1176	1289
477	1178	1286
478	1180	1283
479	1182	1281
480	1184	1277
481	1185	1274
482	1187	1271
483	1189	1268
484	1194	1267
485	1199	1268
486	1202	1266
487	1242	1303
488	1250	1306
489	1254	1305
490	1258	1304
491	1263	1304
492	1266	1302
493	1268	1299
494	1270	1296
495	1272	1293
496	1277	1292
497	1281	1291
498	1283	1289
499	1286	1286
500	1287	1282
501	1289	1279
502	1293	1278
503	1295	1275
504	1298	1272
505	1300	1269
506	1304	1268
507	1309	1267
508	1311	1264
509	1314	1263
510	1316	1260
511	1319	1258
512	1325	1258
513	1328	1256
514	1332	1254
515	1335	1252
516	1340	1252
517	1345	1251
518	1347	1248
519	1349	1245
520	1352	1243
521	1356	1241
522	1359	1239
523	1362	1237
524	1364	1234
525	1369	1234
526	1371	1231
527	1373	1228
528	1376	1225
529	1379	1223
530	1385	1223
531	1389	1222
532	1394	1221
533	1400	1222
534	1403	1219
535	1407	1218
536	1411	1217
537	1434	1232
538	1438	1229
539	1440	1227
540	1447	1228
541	1450	1225
542	1457	1226
543	1467	1229
544	1469	1226
545	1472	1224
546	1475	1221
547	1484	1224
548	1487	1222
549	1491	1220
550	1495	1218
551	1500	1217
552	1505	1217
553	1513	1218
554	1550	1243
555	1554	1241
556	1556	1238
557	1559	1235
558	1561	1231
559	1566	1231
560	1570	1228
561	1573	1226
562	1576	1223
563	1582	1223
564	1584	1220
565	1593	1221
566	1600	1221
567	1602	1218
568	1604	1215
569	1606	1212
570	1622	1218
571	1636	1224
572	1640	1222
573	1672	1240
574	1679	1241
575	1682	1238
576	1684	1235
577	1687	1231
578	1691	1230
579	1695	1227
580	1698	1225
581	1707	1226
582	1709	1222
583	1712	1219
584	1714	1216
585	1717	1213
586	1722	1211
587	1724	1208
588	1730	1207
589	1739	1208
590	1741	1205
591	1784	1229
592	1791	1229
593	1793	1226
594	1798	1223
595	1807	1225
596	1811	1222
597	1814	1219
598	1819	1217
599	1825	1216
600	1828	1213
601	1830	1210
602	1837	1209
603	1843	1208
604	1845	1205
605	1852	1204
606	1855	1201
607	1858	1198
608	1862	1195
609	1870	1195
610	1873	1192
611	1878	1190
612	1883	1189
613	1890	1188
614	1901	1190
615	1903	1186
616	1905	1183
617	1908	1179
618	1924	1184
619	1942	1190
620	1948	1188
621	1951	1186
622	1969	1191
623	1972	1188
624	1975	1185
625	1978	1182
626	1980	1178
627	2003	1186
628	2009	1185
629	2025	1189
630	2078	1215
631	2125	1237
632	2131	1235
633	2133	1231
634	2136	1227
635	2145	1227
636	2151	1225
637	2159	1225
638	2161	1221
639	2175	1223
640	2179	1220
641	2200	1226
642	2273	1262
643	2276	1258
644	2278	1253
645	2304	1262
646	2310	1260
647	2313	1256
648	2316	1252
649	2318	1248
650	2321	1244
651	2328	1242
652	2333	1240
653	2342	1239
654	2349	1237
655	2353	1233
656	2360	1232
657	2362	1227
658	2365	1224
659	2368	1219
660	2375	1218
661	2377	1213
662	2379	1209
663	2382	1205
664	2411	1214
665	2414	1210
666	2416	1206
667	2421	1203
668	2423	1199
669	2426	1195
670	2428	1190
671	2430	1186
672	2436	1183
673	2438	1179
674	2441	1175
675	2445	1171
676	2451	1169
677	2455	1166
678	2458	1162
679	2460	1157
680	2466	1155
681	2469	1151
682	2471	1147
683	2474	1143
684	2476	1138
685	2497	1143
686	2499	1138
687	2503	1135
